Montanha,Altitude (metros),Face,Via,Grau Geral,Grau do Crux,Grau do Artificial (Passadas),Grau de Duração,Grau de Exposição,Extensão (metros),Conquistadores,Data da Conquista
Morro dos Cabritos,379,Falésia Laranjão,Bagaço da laranja,,VIIc,,,,12.0,Júlio Campanella,1994
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),Bem-Te-Vi,3.0,IV,,,,160.0,André Ilha; José 'Camelô' Lozada; Renato Souto,13/09/1990
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),Encruzilhada,4.0,IVsup,,,E2/3,235.0,Júlio Campanella; Leandro Moura,22/08/2002
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),Via do Beto,4.0,IVsup,,,E5,180.0,Herbert Fortes,
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),Amnésia Audaciosa,4.0,IVsup,,,E2/3,120.0,André Ilha; Bóris Flegr; Carlos 'Chuchu' Arruzo; Francisco 'Playboy' Castagnaro; Ivan Azevedo; Monique Correa; Rodolfo Campos,15/04/2007
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),Lagoa,3.0,IV,,,,245.0,Fernando Gusmão; Gilberto Chiarelli; José Carlos Almeida,17/10/1970
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),O satânico Dr. Pow,4.0,IVsup,,,E2/3,215.0,Bruno Dias; Jean Pierre Von Der Weid; Luis Alexandre; Pedro 'Pow' Aragão; Ricardo Moraes,04/06/2004
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),Cabrito Cabreiro,4.0,V,,,E2/3,230.0,André Kühner; Júlio Campanella; Nilton Campos,11/09/2000
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),Variante de A fogueira das vaidades,,IVsup,,,,30.0,,
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),A fogueira das vaidades,4.0,V,,,E2/3,165.0,Arthur Solleiro; Pedro 'Pow' Aragão; Ricardo de Moraes, 04/01/2002
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),Grande guerreiro,4.0,IV,,,E2/3,220.0,Frederico Noritomi; Guiderlan 'Dolly' Mantovani; Hernande Oliveira; Manuel do Rosário; Rodolfo Campos,24/03/2002
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),Cabrito em chamas,4.0,IVsup,,,E3,170.0,André Kühner; Arianne Carvalhedo; Gabriela Saliba,09/2001
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),Variante Diurrurru,3.0,IVsup,,,E2/3,80.0,Alexrande Aragão; Álvaro Loureiro; Felipe Assad,2002
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),Os exércitos de um homem só,3.0,III,,,,200.0,Pedro 'Pow' Aragão,08/10/2001
Morro dos Cabritos,379,Face Norte/Noroeste (Lagoa/Fonte da Saudade),Carioca,2.0,III,,,,100.0,Francisco Menescal; Hudson Machado; Jarci Machado; Luiz Menescal; Ricardo Menescal,07/12/1947
Morro dos Cabritos,379,Falésia do mirante,Es muerto,,Vsup,,,E4/5,25.0,Hernande Oliveira; Rodolfo Campos,18/08/2001
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),PFF2,2.0,II,,,,400.0,Ferando Fuhrkin; Paulo Favaron,1992
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Cristal acima,3.0,IV,,,E2/E3,135.0,Fábio Serfaty; Márcio Carilho,2005
